Palabra/Clase, FrecPos, FrecNeg, LogPos, LogNeg
crust, 0, 2, -3.811976944336954, -3.3663606883202952
is, 91, 56, -1.8481891169913987, -2.0876070873674664
not, 15, 89, -2.6078569616810294, -1.8892394336006328
good, 65, 18, -1.9924330087950852, -2.564728342087129
tasty, 6, 3, -2.966878904322697, -3.2414219517119953
and, 198, 148, -1.5131238679272474, -1.6702956746276836
the, 279, 233, -1.3648189129947348, -1.4742660856298149
texture, 1, 2, -3.5109469486729727, -3.3663606883202952
was, 126, 142, -1.7081732233809972, -1.688145905574896
just, 17, 14, -2.556704439233648, -2.6673906839842765
nasty, 0, 3, -3.811976944336954, -3.2414219517119953
now, 6, 6, -2.966878904322697, -2.998383903025701
i, 109, 173, -1.7705842591787289, -1.6029326947573581
am, 2, 4, -3.3348556896172914, -3.144511938703939
getting, 1, 6, -3.5109469486729727, -2.998383903025701
angry, 0, 1, -3.811976944336954, -3.5424519473759766
want, 5, 4, -3.03382569395331, -3.144511938703939
my, 30, 36, -2.3206152505026814, -2.275280218972963
damn, 1, 2, -3.5109469486729727, -3.3663606883202952
pho, 3, 3, -3.2099169530089915, -3.2414219517119953
honeslty, 0, 1, -3.811976944336954, -3.5424519473759766
it, 46, 72, -2.1398790864012365, -1.980159082919502
didnt, 4, 6, -3.1130069400009353, -2.998383903025701
taste, 7, 4, -2.9088869573450102, -3.144511938703939
that, 21, 40, -2.469554263514748, -2.2306980863202224
fresh, 10, 4, -2.770584259178729, -3.144511938703939
potatoes, 2, 1, -3.3348556896172914, -3.5424519473759766
were, 32, 26, -2.2934630044590665, -2.4121181788809705
like, 15, 27, -2.6078569616810294, -2.3963239116977384
rubber, 0, 1, -3.811976944336954, -3.5424519473759766
you, 31, 23, -2.306826966017048, -2.463270701328352
could, 7, 7, -2.9088869573450102, -2.940391956048014
tell, 3, 3, -3.2099169530089915, -3.2414219517119953
they, 30, 20, -2.3206152505026814, -2.5212626483060383
had, 34, 30, -2.2679088999866783, -2.352120249205685
been, 8, 10, -2.8577344348976292, -2.802089257881733
made, 9, 5, -2.811976944336954, -3.065330692656314
up, 7, 13, -2.9088869573450102, -2.6973539073617196
ahead, 0, 1, -3.811976944336954, -3.5424519473759766
of, 45, 61, -2.14921911265538, -2.051090253541704
time, 20, 18, -2.489757649603035, -2.564728342087129
being, 1, 12, -3.5109469486729727, -2.729538590733121
kept, 1, 4, -3.5109469486729727, -3.144511938703939
under, 0, 2, -3.811976944336954, -3.3663606883202952
a, 93, 114, -1.8388490907372552, -1.782784102686346
warmer, 0, 1, -3.811976944336954, -3.5424519473759766
would, 7, 18, -2.9088869573450102, -2.564728342087129
go, 14, 26, -2.6358856852812727, -2.4121181788809705
back, 20, 37, -2.489757649603035, -2.2636983464231477
cashier, 1, 1, -3.5109469486729727, -3.5424519473759766
no, 2, 21, -3.3348556896172914, -2.5010592622177517
care, 2, 1, -3.3348556896172914, -3.5424519473759766
what, 8, 13, -2.8577344348976292, -2.6973539073617196
so, 33, 26, -2.2804980272946986, -2.4121181788809705
ever, 9, 17, -2.811976944336954, -2.588209437936652
on, 29, 18, -2.3348556896172914, -2.564728342087129
to, 73, 114, -1.9427452246059778, -1.782784102686346
say, 8, 7, -2.8577344348976292, -2.940391956048014
still, 5, 4, -3.03382569395331, -3.144511938703939
ended, 0, 2, -3.811976944336954, -3.3663606883202952
wayyy, 0, 1, -3.811976944336954, -3.5424519473759766
overpriced, 0, 7, -3.811976944336954, -2.940391956048014
disgusted, 0, 1, -3.811976944336954, -3.5424519473759766
because, 4, 8, -3.1130069400009353, -2.889239433600633
pretty, 10, 7, -2.770584259178729, -2.940391956048014
sure, 2, 4, -3.3348556896172914, -3.144511938703939
human, 0, 2, -3.811976944336954, -3.3663606883202952
hair, 0, 2, -3.811976944336954, -3.3663606883202952
shocked, 0, 1, -3.811976944336954, -3.5424519473759766
signs, 0, 1, -3.811976944336954, -3.5424519473759766
indicate, 0, 1, -3.811976944336954, -3.5424519473759766
cash, 0, 1, -3.811976944336954, -3.5424519473759766
only, 10, 15, -2.770584259178729, -2.639361960384033
waitress, 4, 3, -3.1130069400009353, -3.2414219517119953
little, 5, 5, -3.03382569395331, -3.065330692656314
slow, 0, 10, -3.811976944336954, -2.802089257881733
in, 53, 42, -2.0795831845139854, -2.210013487460371
service, 44, 32, -2.1587644305616105, -2.3249680031620703
this, 64, 57, -1.9990635876940983, -2.0800539494770205
place, 48, 43, -2.12178086430844, -2.2000292665537704
worth, 4, 4, -3.1130069400009353, -3.144511938703939
your, 9, 15, -2.811976944336954, -2.639361960384033
let, 0, 2, -3.811976944336954, -3.3663606883202952
alone, 0, 1, -3.811976944336954, -3.5424519473759766
vegas, 15, 4, -2.6078569616810294, -3.144511938703939
did, 7, 14, -2.9088869573450102, -2.6673906839842765
at, 14, 35, -2.6358856852812727, -2.2871794422726706
all, 23, 17, -2.431765702625348, -2.588209437936652
burrittos, 0, 1, -3.811976944336954, -3.5424519473759766
blah, 0, 1, -3.811976944336954, -3.5424519473759766
never, 3, 17, -3.2099169530089915, -2.588209437936652
brought, 1, 2, -3.5109469486729727, -3.3663606883202952
salad, 6, 7, -2.966878904322697, -2.940391956048014
we, 25, 39, -2.3970035963661362, -2.2414219517119953
asked, 0, 5, -3.811976944336954, -3.065330692656314
for, 40, 57, -2.1991930876172185, -2.0800539494770205
took, 0, 8, -3.811976944336954, -2.889239433600633
an, 16, 12, -2.58152802295868, -2.729538590733121
hour, 1, 5, -3.5109469486729727, -3.065330692656314
get, 7, 11, -2.9088869573450102, -2.7643006969923327
our, 18, 19, -2.533223343384125, -2.5424519473759766
